PID	Pathway Name	Corrected Pathway Name	Reviewed By	Curated By	Revision Date
IL27pathway	IL27-mediated signaling events		"Christopher Hunter, Nico Ghilardi"	Kira Anthony	9-Mar-09
IL2_1pathway	IL2-mediated signaling events		"Massimo Gadina, Hodaka Fujii, Angelita Rebollo, Sarah L. Gaffen"	Kira Anthony	9-Mar-09
il3_pathway	IL3-mediated signaling events		"Ke Shuai, Leo Koenderman"	Kira Anthony	18-Sep-10
IL4_2pathway	IL4-mediated signaling events		"Shreevrat Goenka, Daniel Hebenstreit"	Kira Anthony	16-Sep-10
il5_pathway	IL5-mediated signaling events		"Ke Shuai, Leo Koenderman"	Kira Anthony	18-Sep-10
il6_7pathway	IL6-mediated signaling events		"Akihiko Yoshimura, Xinmin Cao"	Kira Anthony	18-Sep-10
il8cxcr1_pathway	IL8- and CXCR1-mediated signaling events		"RoseMarie Stillie, Andrew W. Stadnyk"	Kira Anthony	18-Sep-10
il8cxcr2_pathway	IL8- and CXCR2-mediated signaling events		"RoseMarie Stillie, Andrew W. Stadnyk"	Kira Anthony	18-Sep-10
il8_pathway	IL8-mediated signaling events		"RoseMarie Stillie, Andrew W. Stadnyk"	Kira Anthony	18-Sep-10
insulin_pathway	Insulin Pathway		"Michael Pollak, Mike Czech"	Shiva Krupa	13-Apr-09
insulin_glucose_pathway	Insulin-mediated glucose transport		"Michael Pollak, Mike Czech"	Shiva Krupa	13-Apr-09
Integrin_cs_pathway	Integrin family cell surface interactions		"John Lamar, David Calderwood, Li Zhang, Dwayne Stupack, Arthur Mercurio"	Mhairi Skinner	18-Sep-10
ILK_pathway	Integrin-linked kinase signaling		"Shoukat Dedhar, Greg Hannigan"	Mhairi Skinner	18-Sep-10
aVb3_Integrin_pathway	Integrins in angiogenesis		"Federico Bussolino, Meena Chellaiah,"	Shiva Krupa	9-Mar-09
erbb1_internalization_pathway	Internalization of ErbB1		"Alexander Sorkin, Ami Citri"	Mhairi Skinner	9-Aug-10
TCRJNKPathway	JNK signaling in the CD4+ TCR pathway	JNK signaling in the CD4 TCR pathway	"Amnon Altman, Anjana Rao, Mark Sundrud, Victor Tybulewicz, Weiguo Zhang "	Kira Anthony	9-Mar-09
LKB1_pathway	LKB1 signaling events		Paola Marignani	Mhairi Skinner	12-Jul-10
Lysophospholipid_pathway	LPA receptor mediated events		"Jerold Chun, Gordon Mills, Edward Goetzl, Christine Paczkowski, Mandi Murph"	Shiva Krupa	11-Feb-08
LPA4_pathway	LPA4-mediated signaling events		"Jerold Chun, Gordon Mills, Edward Goetzl, Christine Paczkowski, Mandi Murph"	Shiva Krupa	18-Sep-10
mtor_4pathway	mTOR signaling pathway		"Nahum Sonenberg, Mathieu Laplante"	Kira Anthony	10-Aug-09
Ncadherinpathway	N-cadherin signaling events		"Cecile Gauthier-Rouviere, Patrick Doherty"	Mhairi Skinner	18-Sep-10
nectin_pathway	Nectin adhesion pathway		"Yoshimi Takai, Hisakazu Ogita"	Mhairi Skinner	18-Sep-10
nephrin_NEPH1_pathway	Nephrin/Neph1 signaling in the kidney podocyte	NephrinNeph1 signaling in the kidney podocyte	"Thomas Benzing, Nina Jones"	Mhairi Skinner	18-Sep-10
netrin_pathway	Netrin-mediated signaling events		Nathalie Lamarche-Vane	Mhairi Skinner	18-Sep-10
wnt_noncanonical_pathway	Noncanonical Wnt signaling pathway		"Randall Widelitz, Randall Moon, Akira Kikuchi, Yasuhiro Minami"	Mhairi Skinner	18-Sep-10
ar_nongenomic_pathway	Nongenotropic Androgen signaling		William H. Walker	Kira Anthony	9-Aug-10
notch_pathway	Notch signaling pathway		"Urban Lendahl, Kenji Matsuno, Robert Fleming, Christel Brou"	Kira Anthony	16-Sep-10
hes_heypathway	Notch-mediated HES/HEY network	Notch-mediated HESHEY network	"Urban Lendahl, Kenji Matsuno, Robert Fleming, Christel Brou"	Kira Anthony	16-Sep-10
avb3_opn_Pathway	Osteopontin-mediated events		"Federico Bussolino, Meena Chellaiah,"	Shiva Krupa	13-Jul-09
