GENE 1	GENE 1 ID	GENE 2	GENE 2 ID	Untreated (Sscore)	MMS (Sscore) 	log10(conditional pvalue) 
CIN5	854193	RCS1		0.104158	2.70277	4.5526
KIN1	851700	FUS3	852265	1.021188	1.225321	4.5464
CLN1	855239	SER2	853122	1.091145	1.153667	4.5404
LCB4	854342	RCS1		0.016541	2.609904	4.5365
SKM1	854036	RAD52	854976	0.835169	1.480849	4.5155
RAD52	854976	SDP1	854693	1.063327	1.015729	4.4899
CLN2	855819	DUN1	851457	0.80993	1.418067	4.4807
CLA4	855418	BCK1	853350	12.351363	5.49544	4.4642
CLB5	856237	CTK1	853718	1.414829	1.10232	4.4147
CLB5	856237	CTK2	853450	1.030487	1.177543	4.4104
RFX1	850873	YER130C		0.971682	1.235988	4.4091
BCK1	853350	RAD51	856831	1.521015	0.992355	4.4031
PPQ1	855923	UME6	851788	0.970107	1.234095	4.397
HSL1	853760	PLM2	852112	0.22044	2.21954	4.3836
CLN1	855239	ADR1	851802	3.180612	0.789241	4.3737
VPS71	854966	PTC1	851558	0.01161	2.526494	4.368
CTK3	854928	VPS71	854966	11.227296	4.460463	4.3628
HAL9	854064	BUB1	853100	9.467841	2.714676	4.3474
CTK3	854928	CBF1	853523	5.978832	0.416068	4.3404
ASF1	853327	SWI4	856847	1.74147	0.844682	4.3066
CTK1	853718	CTF8	856598	1.397959	1.082511	4.3025
CKA2	854227	SLT2	856425	1.03322	1.142745	4.2987
MSS11	855200	RAD52	854976	0.38859	2.022025	4.2915
NUP133	853957	RAD51	856831	6.706095	1.182049	4.2876
MGA2	854851	CLB3	851400	7.947536	1.262838	4.2704
HRK1	854441	CLN1	855239	0.40234	2.904383	4.2598
RAD52	854976	SWI6	850879	1.713028	0.854795	4.2533
RPD3	855386	OPI1	856366	1.486992	0.974588	4.2453
PSK2	854111	DCC1	850344	0.747156	1.477036	4.2062
MKK2	855963	ARG81	854874	1.190375	1.015939	4.2007
PHO80	854161	UPC2	851799	0.137938	2.343139	4.1975
HMS1	854197	RPN4	851542	0.565406	1.648557	4.1724
RIM101	856358	YCK3	856860	1.920647	0.774557	4.142
RCS1		SNF1	852088	4.586798	0.057657	4.1397
RAD17	854550	PPH3	851647	0.436074	3.583125	4.1396
SMK1	856167	PPH3	851647	0.241089	2.119533	4.137
HRK1	854441	UME6	851788	1.605824	0.919778	4.1318
RAD52	854976	TBS1	852447	0.473177	1.885406	4.1308
HIR3	853605	RAD51	856831	0.471503	1.883987	4.1214
IXR1	853836	DUN1	851457	14.894682	8.349376	4.1159
RTT109	850658	YAP5	854835	0.543275	1.767662	4.1008
NPR1	855538	YPS1	850811	0.659834	1.526211	4.081
CTK1	853718	PTC2	856823	2.252376	0.73407	4.0793
HMS1	854197	RAD51	856831	0.723507	1.461861	4.0788
CLB4	850907	MET18	854678	3.345475	0.506919	4.0499
FKH2	855656	UPC2	851799	0.416213	1.911863	4.0381
GCR2	855522	SLT2	856425	2.460711	0.643753	4.0372
CUP9	855926	RPD3	855386	3.590743	0.320918	4.037
RCS1		YER130C		0.255078	2.680692	4.0351
ASH1	853650	RAD51	856831	0.88671	1.21073	4.0313
